INFO  - 2016-06-02 20:14:22.157; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits:num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@6a00e35b; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1,filenames=[segments_1]
INFO  - 2016-06-02 20:14:22.158; org.apache.solr.core.SolrDeletionPolicy; newest commit = 1[segments_1]
INFO  - 2016-06-02 20:14:22.163; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-06-02 20:14:22.163; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-06-02 20:14:22.164; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-06-02 20:14:22.167; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-06-02 20:14:22.168; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-06-02 20:14:22.339; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.341; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.344; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-06-02 20:14:22.345; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.350; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-06-02 20:14:22.352; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2016-06-02 20:14:22.355; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2016-06-02 20:14:22.356; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-02 20:14:22.357; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-02 20:14:22.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-02 20:14:22.357; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-02 20:14:22.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-02 20:14:22.358; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-02 20:14:22.360; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-06-02 20:14:22.363; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-06-02 20:14:22.366; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-06-02 20:14:22.381; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-06-02 20:14:22.381; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.381; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.382; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.382; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.382; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.382; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.383; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.383; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-06-02 20:14:22.401; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-02 20:14:22.404; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-02 20:14:22.406; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
